ADS.DE,AIR.PA,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DTG.DE,DBK.DE,DB1.DE,DHL.DE,DTE.DE,EOAN.DE,FRE.DE,FME.DE,G1A.DE,HNR1.DE,HEI.DE,HEN3.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,G24.DE,SIE.DE,ENR.DE,SHL.DE,SY1.DE,VOW3.DE,VNA.DE,ZAL.DE
165.1694793701172,121.3900375366211,201.04078674316406,38.57257843017578,40.303001403808594,122.10173034667969,78.29511260986328,65.5240707397461,9.644759178161621,57.15663146972656,26.8966121673584,9.78981876373291,149.7561492919922,33.352901458740234,19.214120864868164,10.387063026428223,23.678239822387695,29.591766357421875,30.749818801879883,195.54966735839844,65.27239990234375,64.40727233886719,26.938369750976562,47.326622009277344,137.70901489257812,174.2732696533203,352.9472351074219,37.86437225341797,34.8497200012207,266.0982971191406,33.91276931762695,124.03555297851562,56.42013931274414,118.72296905517578,8.369999885559082,44.70808029174805,94.07646179199219,86.63249206542969,20.151899337768555,21.989999771118164
189.80661010742188,130.9259033203125,209.86875915527344,37.8194694519043,31.08465576171875,126.6786880493164,85.40716552734375,74.08368682861328,10.685253143310547,66.06874084472656,27.087303161621094,10.801321029663086,168.18618774414062,39.05084228515625,20.621747970581055,11.04898452758789,28.41584014892578,35.55358123779297,32.17139434814453,205.5947265625,71.29637908935547,68.30500793457031,34.85565185546875,50.869930267333984,154.92864990234375,184.85765075683594,364.4168395996094,40.298828125,37.36024856567383,271.60919189453125,36.95393371582031,142.37567138671875,62.23524475097656,146.3135223388672,10.880000114440918,51.09770584106445,100.92193603515625,92.3512954711914,23.699377059936523,21.860000610351562
181.92352294921875,134.36727905273438,220.19834899902344,43.2197151184082,33.3347282409668,133.56875610351562,90.04430389404297,77.76544189453125,10.224394798278809,71.55741882324219,30.89205551147461,11.68803882598877,179.958251953125,40.6976203918457,20.41060447692871,11.248022079467773,27.419479370117188,35.86537170410156,35.95906448364258,203.0599822998047,77.14877319335938,68.92939758300781,37.061702728271484,53.40574264526367,139.40194702148438,192.2421112060547,349.77679443359375,41.610382080078125,39.09678268432617,282.4342041015625,38.65285873413086,136.5037078857422,62.390838623046875,161.43890380859375,12.0,50.76953887939453,97.4405288696289,97.02006530761719,26.50392723083496,21.450000762939453
173.9811553955078,142.07672119140625,225.52244567871094,39.39213562011719,28.646255493164062,133.71640014648438,86.47039794921875,76.86836242675781,10.148377418518066,70.88761901855469,30.20193099975586,11.376080513000488,178.26963806152344,40.39366912841797,21.344331741333008,11.627586364746094,25.514671325683594,34.01352310180664,35.49156951904297,208.59884643554688,81.85738372802734,67.26434326171875,33.08590316772461,53.66188049316406,147.4313201904297,210.40786743164062,367.5873107910156,41.7720832824707,40.11902618408203,319.63287353515625,32.22323226928711,157.3687744140625,66.53337097167969,158.36062622070312,13.96500015258789,50.055294036865234,93.82220458984375,103.99717712402344,26.977542877197266,18.68000030517578
184.84756469726562,147.01768493652344,231.02854919433594,41.70906448364258,27.843366622924805,130.46823120117188,97.5852279663086,78.84940338134766,10.162630081176758,68.91542053222656,34.30634307861328,11.686148643493652,186.80921936035156,38.932891845703125,20.631132125854492,10.933263778686523,25.280231475830078,33.427738189697266,35.558353424072266,222.77455139160156,85.49845123291016,65.80742645263672,32.79538345336914,62.87447738647461,152.65528869628906,218.8754119873047,401.3434143066406,44.359256744384766,39.35447311401367,417.2547607421875,29.097585678100586,169.19100952148438,65.34700012207031,178.75759887695312,14.204999923706055,53.56861877441406,92.47266387939453,108.77008056640625,23.959400177001953,19.520000457763672
204.48614501953125,164.10919189453125,252.8253936767578,46.89666748046875,28.180381774902344,132.83053588867188,95.56597137451172,72.96234130859375,12.096333503723145,62.23598098754883,42.642295837402344,13.78477668762207,182.9977569580078,36.215484619140625,21.114418029785156,11.928459167480469,24.420625686645508,33.682838439941406,37.390174865722656,238.17068481445312,97.1746597290039,70.48092651367188,31.229684829711914,63.019622802734375,158.26620483398438,231.57666015625,421.76495361328125,44.12569046020508,39.35447311401367,512.7116088867188,29.529354095458984,176.60926818847656,67.93366241455078,172.914306640625,17.0049991607666,54.74616622924805,108.50086212158203,106.60057830810547,25.445255279541016,26.489999771118164
223.65054321289062,151.27943420410156,242.63230895996094,46.663475036621094,27.219139099121094,139.37039184570312,91.53639221191406,69.9533920288086,13.265107154846191,58.663414001464844,38.419837951660156,14.189376831054688,174.79591369628906,35.62118911743164,20.87794303894043,11.479463577270508,27.321796417236328,37.41487503051758,36.159423828125,218.1744842529297,90.20706176757812,72.2483139038086,32.42377853393555,60.56919860839844,146.2135467529297,223.10916137695312,398.4965515136719,43.05668640136719,38.803401947021484,508.9720764160156,30.62755584716797,166.07884216308594,67.19461822509766,171.8785400390625,19.299999237060547,51.23801803588867,98.47712707519531,99.92720031738281,25.240951538085938,24.65999984741211
229.38583374023438,152.4726104736328,257.2048645019531,45.95623779296875,28.10487937927246,143.1385040283203,88.408935546875,63.641868591308594,15.146198272705078,60.013328552246094,37.29252624511719,14.813994407653809,180.28526306152344,36.786739349365234,21.65515899658203,11.836532592773438,28.601438522338867,38.10493850708008,37.51172637939453,221.06874084472656,94.05880737304688,80.65109252929688,36.49161148071289,61.11161422729492,163.44113159179688,226.96034240722656,442.67724609375,45.38334655761719,39.09135055541992,525.14208984375,33.71941375732422,164.47341918945312,67.29185485839844,172.2303009033203,24.81999969482422,52.49684143066406,108.09968566894531,107.888671875,27.61216926574707,24.25
220.96347045898438,125.44026947021484,248.768798828125,42.89470672607422,26.2537784576416,135.40396118164062,83.85470581054688,60.7288818359375,13.825535774230957,51.00747299194336,35.388389587402344,14.504599571228027,188.36805725097656,35.95889663696289,22.81126594543457,11.8124361038208,27.2338809967041,34.778778076171875,38.119285583496094,229.30311584472656,95.13971710205078,80.74812316894531,33.99442672729492,59.42736053466797,151.90699768066406,237.19093322753906,451.4747314453125,39.99999237060547,38.27715301513672,473.30450439453125,30.9223690032959,187.82237243652344,70.41940307617188,169.74838256835938,24.309999465942383,52.90989303588867,112.99309539794922,98.88231658935547,25.45496940612793,21.889999389648438
229.1876678466797,136.883056640625,250.0150146484375,40.91538619995117,27.363445281982422,133.0736846923828,81.42578887939453,63.48753356933594,14.707602500915527,54.67152404785156,34.02693557739258,14.045372009277344,186.6923370361328,39.251243591308594,23.48161506652832,12.496795654296875,32.42082214355469,34.89548873901367,40.020347595214844,222.52186584472656,94.80561828613281,76.75049591064453,31.759841918945312,56.28894805908203,162.75399780273438,259.9366455078125,440.4537353515625,39.16606903076172,40.987831115722656,501.2629699707031,33.380672454833984,193.2731170654297,72.39747619628906,165.54669189453125,26.90999984741211,48.80888366699219,115.41507720947266,96.81835174560547,27.23825454711914,23.709999084472656
