Date,ADS.DE,AIR.PA,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DTG.DE,DBK.DE,DB1.DE,DHL.DE,DTE.DE,EOAN.DE,FRE.DE,FME.DE,G1A.DE,HNR1.DE,HEI.DE,HEN3.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,G24.DE,SIE.DE,ENR.DE,SHL.DE,SY1.DE,VOW3.DE,VNA.DE,ZAL.DE
2023-10-20,632942.0,851264,1248107.0,2802177.0,3473777.0,422166.0,1475074.0,479989.0,5443517.0,471927.0,2009239.0,14830609.0,552484.0,2558230.0,8093775.0,5941451.0,1783129.0,652949.0,605827.0,193857.0,1601055.0,463530.0,5625466.0,4497505.0,398487.0,235015.0,455651.0,1649253.0,672151.0,172408.0,2519786.0,2974706.0,287317.0,2003253.0,5062484.0,815139.0,357997.0,1349009.0,3115795.0,1411489.0
2023-10-23,369994.0,669839,693144.0,1846678.0,3399493.0,210303.0,948082.0,219683.0,3984402.0,302890.0,1090946.0,8282044.0,264238.0,1684903.0,5194020.0,3134555.0,842266.0,935863.0,308434.0,74423.0,762535.0,249253.0,3665980.0,3481693.0,397802.0,135004.0,331309.0,1610696.0,393187.0,124042.0,1391184.0,1393686.0,186526.0,1238021.0,4420974.0,598145.0,495003.0,2080562.0,2946807.0,981778.0
2023-10-24,575146.0,1206138,596340.0,1685567.0,1744641.0,263674.0,712251.0,210877.0,3977054.0,207884.0,1474780.0,11453871.0,395822.0,1563703.0,5462943.0,3810562.0,737438.0,678898.0,254881.0,74393.0,428456.0,266840.0,3183726.0,2104956.0,307026.0,586869.0,210284.0,657812.0,751303.0,159193.0,3087379.0,1593729.0,176317.0,1085431.0,5033041.0,678522.0,395885.0,730358.0,2484920.0,1294889.0
2023-10-25,430288.0,793698,650614.0,1762477.0,2168945.0,478197.0,985250.0,171040.0,5639873.0,264709.0,1355035.0,33795850.0,231747.0,2174910.0,7127789.0,4671671.0,861057.0,640023.0,377569.0,79691.0,511869.0,293873.0,3049076.0,2615103.0,405271.0,311282.0,238542.0,748206.0,632360.0,139446.0,2387716.0,1216003.0,163116.0,1566727.0,3548256.0,677308.0,393330.0,1105684.0,1883955.0,1629095.0
2023-10-26,511175.0,868191,733679.0,2512689.0,1998107.0,358629.0,1754600.0,192131.0,8069399.0,388890.0,1768688.0,15358912.0,254762.0,3025064.0,5790902.0,4587871.0,860199.0,447270.0,330368.0,70430.0,564031.0,299490.0,6481865.0,8028344.0,239575.0,276139.0,268898.0,1121435.0,449897.0,360547.0,2358287.0,1596137.0,158175.0,3032359.0,39849532.0,801369.0,395768.0,1510021.0,2203963.0,1655975.0
2023-10-27,393507.0,837215,869238.0,1843868.0,2178421.0,297844.0,1019881.0,226011.0,6722664.0,422800.0,1373572.0,10886521.0,250219.0,2202579.0,4752514.0,3691417.0,865910.0,446706.0,333643.0,140764.0,663524.0,350613.0,3273883.0,5563262.0,403213.0,334972.0,256368.0,1053957.0,784468.0,181909.0,1492198.0,1346960.0,180948.0,1589625.0,22561484.0,658691.0,478630.0,1018285.0,2477480.0,815182.0
2023-10-30,271503.0,644996,540777.0,1919279.0,1665930.0,192640.0,990222.0,129062.0,3574631.0,268222.0,1061909.0,9708426.0,202547.0,1845708.0,3545436.0,3316610.0,855696.0,355343.0,335711.0,62391.0,442266.0,248354.0,7339062.0,3801648.0,634965.0,245700.0,264236.0,828676.0,1202874.0,133386.0,1563109.0,1096970.0,131170.0,1024545.0,20751845.0,443382.0,280951.0,716404.0,2474815.0,929271.0
2023-10-31,381826.0,728586,736100.0,4732471.0,2048730.0,272551.0,906042.0,284629.0,4690957.0,438558.0,1572033.0,7581581.0,289086.0,2084146.0,5412088.0,4297326.0,1846592.0,441828.0,406953.0,108755.0,381686.0,345004.0,5822969.0,4005904.0,697850.0,199261.0,225025.0,821502.0,1748234.0,137228.0,1971729.0,1283699.0,185839.0,1080670.0,10397445.0,1165367.0,343156.0,860578.0,3110254.0,1444111.0
2023-11-01,290827.0,696140,564566.0,3002868.0,2358066.0,313985.0,959228.0,245922.0,4707771.0,289265.0,1571452.0,6983121.0,286665.0,1873758.0,5230829.0,3877790.0,1267436.0,456708.0,181410.0,129872.0,283686.0,224842.0,3848759.0,3838016.0,285221.0,188831.0,273849.0,572762.0,567592.0,189100.0,2165472.0,1122663.0,134307.0,932681.0,8110034.0,794736.0,296940.0,804244.0,2289357.0,1788313.0
2023-11-02,539240.0,759922,957036.0,2510476.0,2145758.0,242945.0,1234813.0,217998.0,5576355.0,430988.0,1211103.0,10520772.0,250265.0,2270236.0,13096419.0,5527240.0,2267542.0,910153.0,164670.0,144013.0,751939.0,299562.0,5386761.0,3882307.0,320178.0,203086.0,337063.0,1281140.0,594941.0,172112.0,1781772.0,1857108.0,223665.0,1504438.0,8052379.0,1275174.0,273372.0,1250561.0,4893776.0,4612055.0
2023-11-03,637877.0,834704,1315904.0,2219155.0,2447512.0,190787.0,1764602.0,274927.0,8302024.0,476460.0,1347651.0,10258774.0,380906.0,2856003.0,5763271.0,5441719.0,1595159.0,575495.0,228799.0,236823.0,607025.0,256089.0,4832547.0,4028205.0,372566.0,174351.0,513107.0,1731140.0,582729.0,261584.0,1924661.0,1791555.0,142301.0,1335839.0,12616161.0,2104385.0,347730.0,1251789.0,8017690.0,3538570.0
2023-11-06,353001.0,723961,562358.0,2280985.0,1545359.0,225816.0,928780.0,286111.0,5914019.0,349225.0,1192926.0,5362844.0,221408.0,1857485.0,4796811.0,4136267.0,972889.0,556898.0,385225.0,113237.0,479993.0,336004.0,3423176.0,2340378.0,316728.0,142493.0,262130.0,504758.0,418973.0,104280.0,1307574.0,1106875.0,107839.0,908392.0,8100250.0,687213.0,250960.0,600458.0,3981263.0,1709378.0
2023-11-07,479414.0,681792,796867.0,1689444.0,1698581.0,166319.0,799182.0,367453.0,6107899.0,582633.0,3046863.0,7368904.0,555129.0,1851973.0,4097081.0,5397012.0,1202002.0,447182.0,256511.0,82971.0,373761.0,413697.0,4388611.0,2498745.0,362659.0,190826.0,265356.0,612689.0,570863.0,101060.0,1263920.0,1574112.0,114114.0,939947.0,5781162.0,610813.0,466426.0,569956.0,2679561.0,992548.0
2023-11-08,924845.0,986440,698449.0,2746354.0,6516971.0,186838.0,984549.0,275009.0,36525051.0,819817.0,1974543.0,6169784.0,270035.0,5434483.0,4937103.0,8440540.0,1852054.0,592200.0,508838.0,120959.0,361946.0,410489.0,3508807.0,2257548.0,319693.0,129352.0,342291.0,454891.0,358590.0,178507.0,1940523.0,1951854.0,158613.0,1417312.0,8476571.0,1152996.0,331343.0,532806.0,2443610.0,1334728.0
2023-11-09,649812.0,1292803,812078.0,3578940.0,3221061.0,222958.0,638498.0,599014.0,7608529.0,288320.0,1762895.0,6251364.0,271009.0,2660653.0,5881744.0,4724990.0,998537.0,334568.0,400214.0,265335.0,456996.0,826790.0,3029069.0,2046433.0,454717.0,114038.0,288060.0,473601.0,304849.0,395096.0,2279559.0,1364065.0,184498.0,1248007.0,7929738.0,642456.0,260744.0,588036.0,2600384.0,1306542.0
2023-11-10,538286.0,969359,1893083.0,2808933.0,4221665.0,193569.0,796614.0,663882.0,11725921.0,377816.0,2924467.0,9615267.0,403939.0,2384243.0,5806980.0,5811149.0,951888.0,445055.0,601462.0,160463.0,267786.0,1009754.0,4042403.0,2751051.0,313298.0,137192.0,233688.0,670446.0,466972.0,213102.0,1565157.0,1372330.0,227892.0,1008072.0,4909326.0,804674.0,340041.0,716401.0,2418980.0,1374085.0
2023-11-13,414170.0,943879,816921.0,1507609.0,3111047.0,207093.0,739544.0,276024.0,7201138.0,244479.0,1546312.0,8327626.0,228580.0,2306751.0,4706871.0,4362500.0,1936087.0,857720.0,297600.0,88427.0,228887.0,441466.0,4294358.0,2480912.0,217671.0,136629.0,190968.0,590754.0,599812.0,257561.0,1523236.0,1305444.0,118235.0,876942.0,8255376.0,795177.0,294822.0,629550.0,2132226.0,1016773.0
2023-11-14,972843.0,1071612,1057144.0,2723579.0,3409922.0,251095.0,1167948.0,321086.0,7059036.0,759690.0,1955168.0,17805217.0,0.0,2883067.0,6714549.0,5055800.0,1443199.0,859135.0,0.0,99861.0,409400.0,666476.0,5996290.0,3412347.0,300091.0,200442.0,345927.0,1476051.0,461955.0,237996.0,3870294.0,2062327.0,159794.0,1599539.0,11401649.0,989161.0,215446.0,1439975.0,5854505.0,2492257.0
2023-11-15,518244.0,850250,597084.0,1630595.0,2768446.0,171124.0,1031027.0,305973.0,6375863.0,571266.0,2516076.0,13636557.0,266060.0,2518155.0,6158795.0,5019457.0,967283.0,719860.0,323439.0,103939.0,478014.0,479436.0,11817156.0,2511199.0,312985.0,130195.0,296275.0,962464.0,338500.0,160896.0,2144776.0,1470265.0,165915.0,1593425.0,14938803.0,517698.0,269961.0,1277157.0,3392084.0,2108013.0
