Date,ADS.DE,AIR.PA,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DTG.DE,DBK.DE,DB1.DE,DHL.DE,DTE.DE,EOAN.DE,FRE.DE,FME.DE,G1A.DE,HNR1.DE,HEI.DE,HEN3.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,G24.DE,SIE.DE,ENR.DE,SHL.DE,SY1.DE,VOW3.DE,VNA.DE,ZAL.DE
2024-09-30,7418798.0,22826410,10598677.0,54555654.0,65793195.0,4651920.0,32337259.0,5722343.0,180413724.0,9761539.0,22576945.0,113541996.0,6718352.0,46919107.0,121987350.0,75513743.0,17451803.0,6985047.0,4652529.0,1517224.0,6412750.0,7444285.0,76577113.0,56933894.0,5447064.0,1827272.0,4702786.0,15097170.0,9260514.0,3469660.0,41869232.0,29941773.0,2616171.0,24520122.0,77184953.0,12261309.0,4523521.0,23210505.0,46182831.0,19471040.0
2024-10-31,10453431.0,30526436,12472288.0,47349011.0,72232207.0,5304743.0,19477378.0,5203804.0,91560334.0,8084613.0,30099617.0,150686167.0,5766819.0,45318018.0,115156290.0,88017588.0,17997000.0,6645655.0,6517772.0,2084506.0,6075639.0,6499226.0,83558787.0,52498754.0,6017324.0,2753202.0,5532879.0,12472565.0,9156913.0,4812707.0,35995665.0,29901543.0,1796448.0,22838017.0,55862536.0,12873677.0,5295113.0,20043919.0,38017308.0,15729483.0
2024-11-30,7229155.0,24479560,11318703.0,44678419.0,111075776.0,3898005.0,29038559.0,5721875.0,114540384.0,11371044.0,20993390.0,138067719.0,5365993.0,53600525.0,120693032.0,116207979.0,19671350.0,8104563.0,5957840.0,2204286.0,8192376.0,6062746.0,83276080.0,60002395.0,5039428.0,2434756.0,4814251.0,16276942.0,10625634.0,6120733.0,61131936.0,25594553.0,1878335.0,27623663.0,55221766.0,11894287.0,4716532.0,19915812.0,30277705.0,15120154.0
2024-12-31,7102730.0,22605111,11668956.0,39065631.0,63049046.0,3265313.0,23248617.0,4048780.0,78656636.0,6087290.0,16150009.0,100206820.0,4747173.0,47096674.0,103315432.0,103557262.0,14372621.0,10652444.0,5090914.0,1521644.0,6293522.0,5553105.0,64823094.0,46324645.0,4599090.0,1735500.0,4322785.0,14323614.0,6920795.0,3655154.0,45590038.0,28632756.0,2510069.0,18850421.0,46550439.0,9376778.0,3966429.0,16064050.0,32214238.0,18713491.0
2025-01-31,6532938.0,24766319,11853652.0,47443311.0,74261299.0,3740313.0,22542808.0,4087138.0,103058814.0,6679372.0,22283124.0,162772298.0,4679490.0,54620289.0,143689114.0,120426768.0,13224030.0,8371418.0,4809571.0,1654403.0,6293194.0,5554346.0,75835419.0,48913069.0,4986910.0,1583794.0,4158153.0,11147896.0,10787181.0,4120297.0,44870889.0,29143209.0,1940144.0,21660608.0,77740362.0,10104264.0,5080623.0,17979458.0,31789032.0,18614937.0
2025-02-28,7740924.0,24313187,12607681.0,65755758.0,59093539.0,4503895.0,25481018.0,4824932.0,113816131.0,7595482.0,24326741.0,170765490.0,6208041.0,50376104.0,139522339.0,119473153.0,19827352.0,9095361.0,7048024.0,1841743.0,9477734.0,7594032.0,78053395.0,53453562.0,5515754.0,3254395.0,4740113.0,12400363.0,12737035.0,10142342.0,53617206.0,27958923.0,2760292.0,29276852.0,63275597.0,17310229.0,5915446.0,26855229.0,41135083.0,15417228.0
2025-03-31,11454963.0,29168875,18488765.0,75921957.0,90423252.0,6674167.0,32316720.0,7182058.0,151120932.0,12220453.0,43753072.0,193514945.0,9088575.0,78307330.0,171180718.0,149100989.0,26495012.0,13481613.0,12093913.0,2635815.0,15214885.0,13266696.0,87057027.0,62696337.0,7415693.0,3732333.0,5258299.0,19126506.0,12085011.0,12553159.0,54131784.0,42519728.0,4766086.0,39032095.0,92792953.0,18477696.0,8211538.0,34250608.0,90191905.0,25226551.0
2025-04-30,15428127.0,37805262,26999448.0,80721683.0,91218042.0,6887197.0,33969682.0,9156490.0,148066126.0,10684378.0,41089469.0,238180369.0,12491475.0,72866216.0,207483608.0,157419067.0,26592810.0,12916746.0,8470616.0,2805203.0,9650416.0,9599866.0,132644343.0,76842330.0,8085936.0,4140996.0,6910463.0,16974181.0,13393470.0,7578548.0,57390557.0,52605030.0,3174059.0,41484751.0,70498263.0,22912694.0,9025974.0,27703641.0,81324534.0,19437068.0
2025-05-31,8540647.0,22053725,18423511.0,60643033.0,79522724.0,5163459.0,23856098.0,5555891.0,92162361.0,9578761.0,25850461.0,122144697.0,7296559.0,49491776.0,127736375.0,129848539.0,20670550.0,12804077.0,8186128.0,2421684.0,8484808.0,10424590.0,98822159.0,56171645.0,7894030.0,2807397.0,6579669.0,12571939.0,13414711.0,6355184.0,52854709.0,29426099.0,3114943.0,25182775.0,55430774.0,19201760.0,5871442.0,21862007.0,57661627.0,21594450.0
2025-06-30,8756381.0,25437439,13961733.0,48776369.0,68858161.0,6863791.0,18315930.0,5569570.0,88356128.0,9124545.0,22807026.0,142257309.0,6413017.0,45449836.0,143627067.0,101564791.0,13610029.0,10779805.0,6433246.0,1666852.0,8510978.0,9837093.0,79313352.0,42809731.0,5518634.0,2703098.0,4755507.0,9598612.0,9760875.0,7071033.0,45681891.0,35066852.0,2956396.0,21582779.0,35822318.0,16635081.0,6276277.0,18787285.0,43168191.0,19182889.0
2025-07-31,12398228.0,20976146,10444241.0,62574963.0,55215339.0,5178301.0,25180845.0,5270130.0,76020737.0,5523830.0,25298467.0,129384650.0,6568677.0,38920501.0,111298253.0,73927719.0,13096282.0,9081506.0,5164284.0,1447454.0,6280298.0,8311720.0,80742098.0,43351342.0,7703092.0,2800452.0,3626222.0,9756852.0,8794566.0,4759256.0,32005061.0,26201969.0,2541943.0,19004380.0,35812818.0,18727734.0,7152941.0,25261656.0,40019841.0,18833226.0
2025-08-31,10990742.0,17334626,11125181.0,44606413.0,58830976.0,7791121.0,16604667.0,4747412.0,124273474.0,6295606.0,16205312.0,96256905.0,5628272.0,32573162.0,96817419.0,75628535.0,14726477.0,10152084.0,6099486.0,1770048.0,6105168.0,9257721.0,59624976.0,32039020.0,5606842.0,1872059.0,4854134.0,8445960.0,8226790.0,5220986.0,31485214.0,27208694.0,2630350.0,18001940.0,35172563.0,11827961.0,7515386.0,17676957.0,37610517.0,24654066.0
2025-09-30,11210311.0,20876808,9130844.0,39368438.0,41229435.0,7622735.0,19096059.0,6348316.0,78359733.0,12710444.0,19765703.0,145980313.0,7385320.0,33219490.0,106787854.0,87887129.0,9309038.0,12246399.0,10936746.0,2053202.0,6154061.0,7905383.0,74595823.0,41772296.0,5310272.0,2105952.0,5604500.0,8698873.0,9547070.0,4259989.0,32695947.0,31991978.0,6034672.0,18684173.0,59619752.0,14362001.0,8485047.0,18789837.0,39336161.0,20407684.0
