ticker,train_mae,test_mae,test_rmse,training_samples,test_samples,total_samples,status
ADS.DE,25.90892664379971,4.312212717236945,6.078940744254843,395,99,504,SUCCESS
AIR.PA,14.727108494984028,4.896588547048953,5.656858561681464,395,99,504,SUCCESS
ALV.DE,43.77857163830313,6.223461756023257,7.6610977104438165,395,99,504,SUCCESS
BAS.DE,3.2664122387658803,0.7810883767226667,1.0353960829500048,395,99,504,SUCCESS
BAYN.DE,5.504267239648895,1.0132323041708116,1.2149187612089134,395,99,504,SUCCESS
BEI.DE,8.076220816289238,6.0318489269486255,7.215099736280431,395,99,504,SUCCESS
BMW.DE,10.811311487127966,1.3911176290104015,1.8203528384943921,395,99,504,SUCCESS
BNR.DE,7.863443840367219,1.5690645242560908,1.8237241020085098,395,99,504,SUCCESS
CBK.DE,4.223995965858503,1.116596089584444,1.4529329505842825,395,99,504,SUCCESS
CON.DE,6.079047500042511,1.6128219903845806,2.970557173407589,395,99,504,SUCCESS
DB1.DE,34.57960496378431,10.54488993105814,12.360071362650599,395,99,504,SUCCESS
DBK.DE,3.6860505969222874,1.644189377507023,1.9873559733612343,395,99,504,SUCCESS
DHL.DE,2.8228318943114963,0.5670757228250192,0.6920958334013056,395,99,504,SUCCESS
DTE.DE,5.126969387543633,0.8115598034478089,1.0260718156755242,395,99,504,SUCCESS
DTG.DE,4.552605070342929,0.9984443624150561,1.3215307096351194,395,99,504,SUCCESS
ENR.DE,20.70169925196308,3.1292800687898286,3.9625792409313636,395,99,504,SUCCESS
EOAN.DE,1.011851951737808,0.3517831952839856,0.40620029761823573,395,99,504,SUCCESS
FME.DE,4.761973716858207,1.3244437491996892,1.6493322069770084,395,99,504,SUCCESS
FRE.DE,5.449030408739664,2.5247047300138283,2.881322600469396,395,99,504,SUCCESS
G1A.DE,8.138959346611848,1.0190632533245851,1.2655991002827365,395,99,504,SUCCESS
G24.DE,14.206406928066432,4.630348703136077,5.48090387220201,395,99,504,SUCCESS
HEI.DE,32.689190936783874,5.918728704177486,7.289835180679811,395,99,504,SUCCESS
HEN3.DE,6.6662278253252385,0.8753400666971043,1.102527869438435,395,99,504,SUCCESS
HNR1.DE,21.632104655841907,4.198844772535456,5.205778342848311,395,99,504,SUCCESS
IFX.DE,2.9900570672290225,1.409491601435217,1.5831087399044455,395,99,504,SUCCESS
MBG.DE,5.031368640106452,0.9588376205726457,1.2098032747215004,395,99,504,SUCCESS
MRK.DE,14.9274401258638,4.084191952181301,4.816351308682822,395,99,504,SUCCESS
MTX.DE,61.57863624791767,6.178702485198204,8.034600886150933,395,99,504,SUCCESS
MUV2.DE,70.49632092985772,14.114294301138399,16.80579672401613,395,99,504,SUCCESS
PAH3.DE,4.4248921990086725,0.8006373531813799,0.9924927480377147,395,99,504,SUCCESS
QIA.DE,2.5648581256823824,0.5945290849651791,0.7643973130773736,395,99,504,SUCCESS
RHM.DE,323.29563982115707,83.86501280641349,101.94346098007134,395,99,504,SUCCESS
RWE.DE,3.0101691058490534,0.5387520278034414,0.6851351231473033,395,99,504,SUCCESS
SAP.DE,46.15955373807468,17.94321691172816,21.46784075725099,395,99,504,SUCCESS
SHL.DE,2.781889439947213,0.6161284501779866,0.7649322742984619,395,99,504,SUCCESS
SIE.DE,26.102192262370227,4.837016032527694,5.955184067473286,395,99,504,SUCCESS
SY1.DE,9.557997432988744,4.64202535624272,5.358600095701413,395,99,504,SUCCESS
VNA.DE,2.873888532757193,0.48384154047843264,0.5939453955686071,395,99,504,SUCCESS
VOW3.DE,9.20081447744904,1.7702609588758935,2.347154808105576,395,99,504,SUCCESS
ZAL.DE,6.121420443774139,1.0730675268682401,1.3309778883375978,395,99,504,SUCCESS
